META ADS ÖZET — HAZİRAN 2026
Tarih Aralığı;1 Haziran - 30 Haziran 2026
Hesap;mezzeMarin.online

ÖZET
Toplam Harcama (TL);38629,62
Toplam Satın Alma;—
Toplam Satın Alma Değeri (TL);—
Meta ROAS;—

KAMPANYALAR
Kampanya Adı;Tür;Harcama (TL);Sonuç (Meta);Satın Alma Adedi;Değer (TL);ROAS
MAYIS GETİR 2026;Trafik / Satış Artırıcı;14841,40;8536 Sayfa Görüntüleme;—;—;—
Yemeksepeti Mayıs 2026;Trafik / Satış Artırıcı;14747,40;5799 Sayfa Görüntüleme;—;—;—
Instagram gönderisi: Somon Füme & Avokado Sandviç;Bilinirlik (Profil Ziyaret);2999,33;1125 Profil Ziyareti;—;—;—
Instagram gönderisi: Dışı çıtır ve içi yumuşacık;Bilinirlik (Profil Ziyaret);2999,29;1197 Profil Ziyareti;—;—;—
Instagram gönderisi: Dünyanın en büyük deniz ürünü marketleri;Bilinirlik (Profil Ziyaret);2993,33;426 Profil Ziyareti;—;—;—
Instagram gönderisi: Pişmiş Mezgit ile Limonlu Sos;Bilinirlik (Profil Ziyaret);48,87;29 Profil Ziyareti;—;—;—
TOPLAM;;38629,62;;;;;—

TÜRE GÖRE KIRILIM
Tür;Harcama (TL);Pay (%)
Trafik / Satış Artırıcı (Yemeksepeti + Getir);29588,80;%76,6
Bilinirlik (Instagram Profil Ziyaret Kampanyaları);10040,82;%26,0
Diğer (Kapalı / 0 harcamalı kampanyalar);0,00;—

NOT;Meta Pixel tabanlı satın alma (purchase) dönüşüm takibi mevcut değil. Dönüşüm verilerini Yemeksepeti / Getir panellerinden alınız.
